Integer Structure Map — tinyllama_tinyllama-1.1b-chat-v1.0
Scanned 200/201 tensors (eps=0.1, 1 unsupported types skipped)
Q4_0 max entropy = 4.0 bits (16 uniform levels). Lower = more structured.

TENSOR                                          TYPE    ELEMS ENTROPY  EFF_LV  %LOW_E MAX|W|    %ZERO
------------------------------------------------------------------------------------------------------------
  blk.19.attn_v.weight — entropy 3.353 (10.2 effective levels), 0.0% low-entropy blocks
    └─ top levels: 0:13.0%, -1:11.8%, 1:11.7%, 2:9.7%, -2:9.7%
  blk.19.attn_k.weight — entropy 3.354 (10.2 effective levels), 0.2% low-entropy blocks
    └─ top levels: 0:12.5%, 1:11.7%, -1:11.6%, 2:9.8%, -2:9.7%
  blk.8.attn_q.weight — entropy 3.354 (10.2 effective levels), 0.3% low-entropy blocks
    └─ top levels: 0:12.7%, 1:11.7%, -1:11.7%, 2:9.7%, -2:9.7%
  blk.5.attn_k.weight — entropy 3.355 (10.2 effective levels), 0.2% low-entropy blocks
    └─ top levels: 0:12.5%, 1:11.7%, -1:11.6%, 2:9.7%, -2:9.7%
  blk.17.attn_v.weight — entropy 3.356 (10.2 effective levels), 0.0% low-entropy blocks
    └─ top levels: 0:13.0%, 1:11.6%, -1:11.6%, -2:9.7%, 2:9.7%
  blk.21.ffn_down.weight — entropy 3.357 (10.2 effective levels), 0.1% low-entropy blocks
    └─ top levels: 0:12.6%, -1:11.8%, 1:11.8%, 2:9.8%, -2:9.8%
  blk.21.attn_k.weight — entropy 3.358 (10.3 effective levels), 0.2% low-entropy blocks
    └─ top levels: 0:12.4%, 1:11.6%, -1:11.6%, 2:9.8%, -2:9.7%
  blk.6.attn_k.weight — entropy 3.359 (10.3 effective levels), 0.0% low-entropy blocks
    └─ top levels: 0:12.4%, 1:11.6%, -1:11.6%, 2:9.9%, -2:9.7%
  blk.14.attn_v.weight — entropy 3.360 (10.3 effective levels), 0.0% low-entropy blocks
    └─ top levels: 0:12.7%, 1:11.7%, -1:11.7%, -2:9.7%, 2:9.7%
  blk.18.attn_k.weight — entropy 3.360 (10.3 effective levels), 0.2% low-entropy blocks
    └─ top levels: 0:12.3%, -1:11.6%, 1:11.6%, 2:9.8%, -2:9.7%
  blk.11.attn_v.weight — entropy 3.363 (10.3 effective levels), 0.0% low-entropy blocks
    └─ top levels: 0:12.9%, 1:11.8%, -1:11.7%, 2:9.7%, -2:9.6%
  blk.2.attn_v.weight — entropy 3.363 (10.3 effective levels), 0.0% low-entropy blocks
    └─ top levels: 0:13.2%, -1:11.7%, 1:11.7%, -2:9.6%, 2:9.6%
  blk.21.attn_q.weight — entropy 3.364 (10.3 effective levels), 0.2% low-entropy blocks
    └─ top levels: 0:12.2%, 1:11.5%, -1:11.5%, 2:9.8%, -2:9.7%
  blk.12.attn_v.weight — entropy 3.366 (10.3 effective levels), 0.0% low-entropy blocks
    └─ top levels: 0:13.1%, -1:11.6%, 1:11.6%, -2:9.6%, 2:9.6%
  blk.11.attn_q.weight — entropy 3.367 (10.3 effective levels), 0.1% low-entropy blocks
    └─ top levels: 0:12.3%, 1:11.6%, -1:11.6%, 2:9.7%, -2:9.7%
  blk.17.attn_k.weight — entropy 3.368 (10.3 effective levels), 0.1% low-entropy blocks
    └─ top levels: 0:12.2%, 1:11.5%, -1:11.5%, 2:9.8%, -2:9.7%
  blk.6.attn_q.weight — entropy 3.368 (10.3 effective levels), 0.0% low-entropy blocks
    └─ top levels: 0:12.3%, 1:11.6%, -1:11.5%, 2:9.8%, -2:9.7%
  blk.15.attn_q.weight — entropy 3.368 (10.3 effective levels), 0.1% low-entropy blocks
